의료기관명,요양종별,허가병상수,일반병상(상급),일반병상(일반),일반병상(외국인),정신과개방(상급),정신과개방(일반),정신과폐쇄(상급),정신과폐쇄(일반),중환자실(성인),중환자실(소아),중환자실(신생아),격리병실(음압공조),격리병실(음압기계),격리병실(비음압),무균치료실(1인),무균치료실(다인),완화의료(호스피스),응급실,수술실,분만실,신생아실,물리치료실,인공신장실
서울대학교병원,상급종합병원,1803,122,1419,0,1,21,2,39,106,24,40,7,0,0,10,12,0,48,44,4,30,16,43
서울적십자병원,종합병원,292,5,269,0,0,0,0,0,12,0,0,6,0,0,0,0,18,11,6,2,2,10,19
서울특별시 동부병원,종합병원,201,3,183,0,0,0,0,0,9,0,0,0,6,0,0,0,19,10,3,1,1,6,10
경찰병원,종합병원,380,23,235,100,0,0,0,0,19,0,0,2,0,1,0,0,0,10,7,1,5,8,28
한국보훈복지의료공단 중앙보훈병원,종합병원,985,5,830,0,0,6,0,60,54,0,0,7,0,21,2,0,28,25,15,1,6,24,25
서울특별시보라매병원,종합병원,765,43,634,0,0,10,0,14,39,0,14,7,0,4,0,0,0,43,14,2,20,10,32
한국원자력의학원원자력병원,종합병원,483,15,441,0,0,0,0,0,24,0,0,1,0,0,2,0,15,12,10,1,1,3,15
국립중앙의료원,종합병원,499,23,384,0,0,0,0,0,55,0,0,35,0,2,0,0,16,31,12,3,8,8,32
서울특별시서울의료원,종합병원,655,28,541,0,0,0,0,30,38,0,3,15,0,0,0,0,19,27,10,15,15,19,31
서울특별시서남병원,종합병원,250,7,223,0,0,0,0,0,16,0,0,4,0,0,0,0,18,10,5,0,0,14,28
서울특별시서북병원,병원,414,7,187,0,0,0,0,0,7,0,0,163,0,50,0,0,19,0,1,0,0,12,0
서울특별시어린이병원,병원,208,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
서울지구병원,병원,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,0
국립재활원,병원,264,6,257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69,0
서울특별시 북부병원,병원,200,6,191,0,0,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,12,13
한국보훈복지의료공단 서울요양병원,요양병원,396,0,395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
의료법인참예원의료재단강남구립행복요양병원,요양병원,307,21,284,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0
푸르메재단 넥슨어린이재활병원,요양병원,34,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
서울특별시은평병원,정신병원,203,0,10,0,0,20,3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
국립정신건강센터,정신병원,200,0,0,0,2,32,11,112,0,0,0,43,0,0,0,0,0,4,0,0,0,0,0
서울대학교치과병원,치과병원,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0
서울특별시장애인치과병원,치과병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
관악서울대학교치과병원,치과병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
성동재활의원,의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
근로복지공단 서울의원,의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
부산대학교병원,상급종합병원,1180,64,927,0,1,4,1,18,105,0,20,28,0,0,2,10,17,37,26,12,10,26,32
부산광역시의료원,종합병원,543,32,434,0,0,0,0,27,27,0,0,23,0,0,0,0,0,23,7,2,4,34,25
한국보훈복지의료공단 부산보훈병원,종합병원,475,8,424,0,0,0,0,0,24,0,0,1,0,18,0,0,20,13,7,1,0,33,26
동남권원자력의학원,종합병원,225,13,203,0,0,0,0,0,8,0,0,1,0,0,0,0,0,10,11,0,0,4,15
부산시립정신병원,정신병원,306,0,0,0,0,31,0,274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
부산시노인전문제1병원,요양병원,200,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
부산노인전문제2병원,요양병원,188,4,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
부산노인전문제3병원,요양병원,251,12,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
부산노인전문제4병원,요양병원,210,18,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
근로복지공단 부산의원,의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
인천광역시의료원,종합병원,303,8,173,0,0,0,0,36,17,0,0,55,14,0,0,0,15,17,6,1,1,14,35
경기도의료원의정부병원,종합병원,203,0,114,0,0,8,0,70,6,0,0,0,5,0,0,0,16,11,3,0,0,9,0
경기도의료원포천병원,종합병원,142,4,125,0,0,0,0,0,10,0,0,3,0,0,0,0,0,22,4,3,10,10,0
경기도의료원파주병원,종합병원,200,7,154,0,0,0,0,0,8,0,0,25,6,0,0,0,16,20,3,1,0,17,0
경기도의료원 안성병원,종합병원,201,20,158,0,0,0,0,0,15,0,0,8,0,0,0,0,16,15,5,0,0,12,0
국민건강보험공단일산병원,종합병원,850,38,690,0,2,12,2,26,53,0,20,7,0,0,0,0,20,33,20,2,9,17,50
국립암센터,종합병원,550,77,433,0,0,0,0,0,26,0,0,0,0,0,4,10,13,25,15,1,1,12,4
국군수도병원,종합병원,676,14,590,0,1,14,1,14,34,0,0,8,0,0,0,0,0,28,10,0,0,13,5
분당서울대학교병원,상급종합병원,1335,57,1076,0,2,24,1,14,85,0,40,12,0,6,4,14,0,42,39,4,20,13,31
경기도의료원 수원병원,종합병원,167,16,107,0,0,0,0,0,9,0,0,35,0,0,0,0,0,13,3,1,2,10,0
근로복지공단안산병원,종합병원,380,6,353,0,0,0,0,0,19,0,0,1,1,0,0,0,0,8,3,0,0,24,25
경기도의료원 이천병원,종합병원,206,18,172,0,0,0,0,0,10,0,0,6,0,0,0,0,10,20,4,0,0,10,0
근로복지공단인천병원,종합병원,334,2,259,0,0,0,0,0,17,0,0,2,0,54,0,0,0,6,3,0,0,20,0
성남시의료원,종합병원,299,9,232,0,0,0,0,0,30,0,0,28,0,0,0,0,15,29,8,0,0,16,40
인천적십자병원,종합병원,122,5,107,0,0,0,0,0,8,0,0,2,0,0,0,0,0,10,3,0,0,5,29
국군포천병원,병원,100,0,90,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,6,0
국군양주병원,병원,342,0,330,0,0,0,0,6,0,0,0,0,0,6,0,0,0,9,6,0,0,9,0
국군고양병원,병원,150,0,136,0,0,0,0,8,0,0,0,6,0,0,0,0,0,4,3,0,0,9,0
서울특별시 백암정신병원,정신병원,238,0,0,0,0,62,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시의료원백령병원,병원,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,7,0
서울특별시축령정신병원,정신병원,206,0,0,0,0,54,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
국립교통재활병원,병원,268,24,242,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,32,22
국군구리병원,병원,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
한국보훈복지의료공단 인천보훈병원,병원,137,6,124,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,2,0,0,13,0
경인권역재활병원,병원,120,8,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
인천시립치매요양병원,요양병원,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
안산시립노인전문병원,요양병원,210,4,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도립노인전문동두천병원,요양병원,235,3,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
경기도립노인전문여주병원,요양병원,190,12,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도립노인전문용인병원,요양병원,204,14,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
인천제2시립노인치매요양병원,요양병원,190,5,184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
경기도립노인전문남양주병원,요양병원,244,9,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
경기도립노인전문시흥병원,요양병원,259,15,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26
근로복지공단 경기요양병원,요양병원,140,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도립노인전문 평택병원,요양병원,252,11,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
부천시립노인전문병원,요양병원,234,6,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
새로운경기도립정신병원,정신병원,50,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고양정신병원,정신병원,274,0,0,0,0,32,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도삼척의료원,종합병원,148,12,126,0,0,0,0,0,6,0,0,0,4,0,0,0,0,20,2,3,5,14,14
강원특별자치도영월의료원,종합병원,184,6,165,0,0,0,0,0,11,0,0,2,0,0,0,0,0,10,2,1,4,8,13
강원특별자치도원주의료원,종합병원,234,16,190,0,0,0,0,0,11,0,0,7,0,10,0,0,13,10,3,0,0,14,0
강원특별자치도속초의료원,종합병원,177,2,163,0,0,0,0,0,10,0,0,2,0,0,0,0,0,20,3,1,5,13,0
강원특별자치도강릉의료원,종합병원,155,4,118,0,0,0,0,0,8,0,0,5,0,20,0,0,0,6,2,0,0,8,15
강원대학교병원,종합병원,632,38,484,0,0,12,0,16,33,8,15,26,0,0,0,0,10,30,11,4,10,15,43
근로복지공단 태백병원,종합병원,247,5,232,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,2,1,2,20,15
근로복지공단 동해병원,종합병원,259,2,245,0,0,0,0,0,8,0,0,4,0,0,0,0,0,8,2,0,0,16,0
국군춘천병원,병원,152,1,139,0,0,0,0,0,0,0,0,0,4,8,0,0,0,5,1,0,0,7,0
국군홍천병원,병원,84,0,80,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,9,0
국군강릉병원,병원,97,3,85,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,2,0,0,9,0
강원특별자치도재활병원,병원,148,4,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
근로복지공단 정선병원,병원,165,4,155,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,0,0,0,2,0
재)정선의료재단 군립병원,병원,30,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,0
춘천시노인전문병원,요양병원,166,3,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
강원특별자치도립 강릉요양병원,요양병원,126,6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
국립춘천병원,정신병원,153,0,0,0,0,36,0,117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
강릉원주대학교치과병원,치과병원,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
충청북도 청주의료원,종합병원,583,29,339,0,0,0,0,180,29,0,0,6,0,0,0,0,9,16,4,1,4,20,22
충청북도 충주의료원,종합병원,294,23,243,0,0,0,0,0,12,0,0,16,0,0,0,0,10,13,4,1,0,14,20
충북대학교병원,상급종합병원,804,36,608,0,0,2,1,18,62,0,25,23,0,25,0,4,9,49,18,2,5,22,31
공군항공우주의료원,병원,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,0
충주위담통합병원,병원,134,6,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
충주시노인전문병원,요양병원,281,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
충북도립노인전문병원,요양병원,126,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
단양군립노인요양병원,요양병원,98,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10
청풍호노인사랑병원,요양병원,167,7,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12
영동군립노인전문병원,요양병원,120,12,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
청주시립요양병원,요양병원,197,1,191,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,20
충청북도청주의료원부설한의원,한의원,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충남대학교병원,상급종합병원,1237,61,993,0,0,0,0,26,85,5,34,14,0,0,5,14,10,39,30,5,10,63,48
충청남도 홍성의료원,종합병원,402,20,256,0,0,10,0,88,25,0,0,1,0,2,0,0,10,22,4,2,8,28,24
충청남도 공주의료원,종합병원,272,11,241,0,0,0,0,0,13,0,0,6,0,1,0,0,0,15,5,1,0,19,25
충청남도 천안의료원,종합병원,294,14,259,0,0,0,0,0,15,0,0,6,0,0,0,0,15,13,4,0,0,14,29
충청남도 서산의료원,종합병원,278,8,255,0,0,0,0,0,10,0,0,5,0,0,0,0,0,20,4,0,0,15,0
대전보훈병원,종합병원,387,7,352,0,0,0,0,0,19,0,0,9,0,0,0,0,16,9,5,8,15,58,13
근로복지공단 대전병원,종합병원,268,4,232,0,0,0,2,29,0,0,0,0,1,0,0,0,0,2,3,0,0,35,0
세종충남대학교병원,종합병원,408,30,336,0,0,0,0,0,24,0,15,1,0,0,2,0,0,28,11,3,10,15,22
